ID;TIPOID;NOMBRE;TIPOMIEMBRO;
79734;CC;Clovis;Estudiante;
78544;CC;angelica;Estudiante;
76567;CC;Nelly ;Estudiante;
80215;CC;andrei;Estudiante;
79667;CC;mathias;Profesor;
77911;CC;juan;Estudiante;
73364;CC;Cristina;Estudiante;
80015;CC;violeta;Estudiante;
79268;CC;nicolas;Profesor;
78214;CC;violeta;Egresado;
80640;CC;andres;Estudiante;
74622;CC;maurizio;Estudiante;
80371;CC;Maria;Estudiante;
74132;CC;camila ;Estudiante;
80742;CC;Sofia ;Profesor;
76039;CC;sabastian;Estudiante;
72628;CC;jose;Egresado;
73498;CC;Silvana;Estudiante;
80958;CC;juan;Estudiante;
79395;CC;Claudia;Estudiante;
79941;CC;mariana;Estudiante;
77220;CC;Juliana;Estudiante;
73386;CC;Nelly ;Estudiante;
80491;CC;juan;Estudiante;
74263;CC;maurizio;Estudiante;
73806;CC;nicolas;Estudiante;
79080;CC;angelica;Egresado;
75921;CC;Aura;Estudiante;
80457;CC;victoria;Estudiante;
74093;CC;Maria;Estudiante;
77240;CC;Hannah;Egresado;
77593;CC;maurizio;Egresado;
77110;CC;angelica;Estudiante;
77555;CC;daniel;Profesor;
78638;CC;nicolas;Estudiante;
80311;TI;jorge;Estudiante;
73615;CC;victoria;Estudiante;
78710;CC;Silvana;Estudiante;
74609;CC;sabastian;Estudiante;
80796;CC;nicolas;Estudiante;
77152;CC;angelica;Estudiante;
75810;CC;Maria;Estudiante;
72294;CC;Maria;Estudiante;
72719;CC;nicolas;Estudiante;
80461;CC;santiago;Estudiante;
79422;CC;sabastian;Profesor;
73040;TI;Maria;Profesor;
73457;CC;nicolas;Profesor;
75817;CC;Claudia;Estudiante;
77236;CC;Nelly ;Estudiante;
81423;CC;Sofia ;Profesor;
81048;CC;lucho;Estudiante;
72849;CC;valeria;Estudiante;
78949;CC;santiago;Estudiante;
78878;CC;Maicol;Egresado;
79192;CC;jose;Estudiante;
72949;CC;camila ;Profesor;
76613;CC;mariana;Profesor;
80337;CC;Catherine;Estudiante;
73579;CC;lucho;Estudiante;
73237;CC;Aura;Estudiante;
79786;CC;Julian;Profesor;
75343;CC;lucho;Estudiante;
73388;CC;jose;Estudiante;
79187;CC;vittorio;Estudiante;
79386;CC;gabriel;Estudiante;
72855;CC;Aura;Estudiante;
74941;CC;andrei;Profesor;
80335;CC;santiago;Estudiante;
78371;CC;mathias;Estudiante;
72425;CC;daniel;Estudiante;
79237;CC;sabastian;Estudiante;
77119;CC;juan;Estudiante;
79170;CC;Nelly ;Estudiante;
76989;CC;pedro;Estudiante;
78635;CC;violeta;Estudiante;
76213;CC;Maria;Estudiante;
78242;CC;santiago;Estudiante;
72943;CC;vittorio;Estudiante;
80572;CC;camila ;Estudiante;
74765;CC;mathias;Estudiante;
75385;CC;violeta;Estudiante;
76082;CC;pedro;Estudiante;
76973;CC;jorge;Estudiante;
80043;CC;vicky;Estudiante;
76387;CC;Cristina;Egresado;
74944;CC;Sofia ;Profesor;
75105;CC;valeria;Profesor;
78222;CC;Maria;Estudiante;
78646;CC;violeta;Estudiante;
73443;CC;juan;Estudiante;
73371;CC;Maria;Estudiante;
76186;CC;jose;Profesor;
75404;CC;andres;Estudiante;
79632;CC;Juliana;Profesor;
74538;CC;Maicol;Profesor;
82021;CC;pedro;Estudiante;
73339;CC;maurizio;Estudiante;
77501;CC;Catherine;Estudiante;
77337;CC;Juliana;Estudiante;
72660;CC;andrea ;Egresado;
81123;CC;Catherine;Estudiante;
75716;CC;victoria;Profesor;
74444;CC;violeta;Egresado;
80978;CC;victoria;Estudiante;
75252;CC;vittorio;Estudiante;
81047;CC;Maria;Egresado;
77018;CC;Claudia;Estudiante;
76603;CC;jose;Estudiante;
74089;CC;Cristina;Egresado;
81698;CC;maurizio;Estudiante;
78856;CC;jorge;Estudiante;
74983;CC;Juliana;Estudiante;
75509;CC;jorge;Estudiante;
76995;CC;pedro;Profesor;
72927;CC;andrei;Egresado;
72737;CC;jaime;Egresado;
78262;CC;pablo;Estudiante;
72575;CC;nicolas;Estudiante;
78683;CC;andrea ;Estudiante;
73815;CC;Hannah;Estudiante;
79297;CC;Catherine;Estudiante;
72216;CC;andrea ;Estudiante;
74530;CC;Juliana;Profesor;
77033;CC;jose;Profesor;
72801;CC;victoria;Estudiante;
74562;CC;Nelly ;Estudiante;
76394;CC;jose;Estudiante;
73559;CC;daniel;Estudiante;
82004;CC;juan;Estudiante;
79867;CC;Sofia ;Profesor;
73896;CC;valeria;Estudiante;
73679;CC;violeta;Profesor;
74098;CC;Cristina;Profesor;
74397;CC;vicky;Estudiante;
80667;CC;angelica;Estudiante;
78605;CC;pedro;Profesor;
74539;CC;nicolas;Estudiante;
77720;CC;Maria;Estudiante;
77536;CC;Maria;Estudiante;
77719;CC;Claudia;Estudiante;
75674;CC;Aura;Estudiante;
78655;CC;andres;Estudiante;
80033;CC;pedro;Estudiante;
74600;CC;gabriel;Estudiante;
77757;CC;pablo;Egresado;
81382;TI;jaime;Profesor;
77828;CC;Aura;Estudiante;
77975;CC;juan;Estudiante;
76610;CC;Julian;Egresado;
79423;CC;Sofia ;Estudiante;
80352;CC;gabriel;Estudiante;
73333;CC;jorge;Estudiante;
72111;CC;Juliana;Estudiante;
75562;CC;maurizio;Estudiante;
80476;CC;pedro;Estudiante;
79342;CC;maurizio;Egresado;
81817;CC;victoria;Estudiante;
80737;CC;daniel;Estudiante;
72518;CC;violeta;Egresado;
74543;CC;santiago;Estudiante;
78135;CC;Cristina;Estudiante;
80316;CC;Claudia;Egresado;
78883;CC;jaime;Estudiante;
76037;CC;Maria;Estudiante;
73374;CC;Maria;Profesor;
77381;CC;lucho;Estudiante;
81085;CC;vicky;Egresado;
74308;CC;Maria;Egresado;
74269;CC;santiago;Estudiante;
79126;CC;Juliana;Estudiante;
82085;CC;daniel;Egresado;
73568;CC;santiago;Profesor;
81232;CC;Valentina;Egresado;
74882;CC;Claudia;Estudiante;
73191;CC;Sofia ;Profesor;
75437;CC;Catherine;Estudiante;
80732;CC;sabastian;Egresado;
80381;CC;Juliana;Profesor;
81728;CC;Silvana;Estudiante;
77414;CC;jose;Estudiante;
79472;CC;juan;Egresado;
76963;CC;Valentina;Estudiante;
78660;CC;Sofia ;Profesor;
73870;CC;Claudia;Profesor;
73114;CC;Juliana;Estudiante;
78808;CC;victoria;Estudiante;
77334;CC;victoria;Estudiante;
72896;CC;Juliana;Estudiante;
80435;CC;santiago;Estudiante;
78362;CC;camila ;Estudiante;
81542;CC;Valentina;Estudiante;
73121;CC;nicolas;Estudiante;
76669;CC;victoria;Egresado;
75934;CC;valeria;Estudiante;
78738;CC;santiago;Estudiante;
74387;CC;santiago;Estudiante;
77196;CC;maurizio;Estudiante;
74500;CC;andres;Estudiante;
73075;CC;valeria;Estudiante;
76161;CC;violeta;Estudiante;
81037;CC;Aura;Estudiante;
75324;CC;maurizio;Estudiante;
74383;CC;pedro;Estudiante;
75639;CC;Maicol;Estudiante;
79929;CC;juan;Estudiante;
79362;CC;sabastian;Estudiante;
74246;TI;andres;Estudiante;
78428;TI;Cristina;Profesor;
79345;CC;santiago;Estudiante;
81387;CC;Maicol;Estudiante;
78372;CC;daniel;Estudiante;
78434;CC;sabastian;Estudiante;
73332;CC;juan;Estudiante;
77840;CC;daniel;Egresado;
75534;CC;Valentina;Estudiante;
80132;CC;jose;Egresado;
77594;CC;Aura;Profesor;
72755;CC;jaime;Estudiante;
72335;CC;mathias;Profesor;
76637;CC;gabriel;Estudiante;
81488;CC;Nelly ;Estudiante;
75763;CC;Hannah;Estudiante;
76192;CC;gabriel;Estudiante;
77811;CC;jaime;Estudiante;
73914;CC;andres;Egresado;
73662;CC;Nelly ;Estudiante;
78167;CC;jaime;Egresado;
74168;CC;sabastian;PersonaEvento;
76623;CC;Aura;Profesor;
78832;CC;jorge;Estudiante;
79897;CC;victoria;Estudiante;
75878;CC;pedro;Egresado;
77357;CC;valeria;Profesor;
74079;CC;mariana;Egresado;
77697;CC;Maria;Estudiante;
80393;CC;andrei;Estudiante;
78976;CC;pablo;Estudiante;
73879;CC;camila ;Estudiante;
75366;CC;jaime;Profesor;
72433;CC;juan;Profesor;
79131;CC;Nelly ;Estudiante;
75313;CC;pedro;Profesor;
76434;CC;nicolas;Profesor;
77788;CC;vicky;Estudiante;
73090;CC;Hannah;Estudiante;
77343;CC;andrei;Estudiante;
81196;CC;Maicol;Egresado;
77172;CC;Aura;Estudiante;
81991;CC;gabriel;Profesor;
73999;CC;santiago;Estudiante;
74738;CC;Juliana;Estudiante;
75546;CC;gabriel;Egresado;
80863;CC;vittorio;Estudiante;
72255;CC;andres;Egresado;
82028;CC;mathias;Estudiante;
80954;CC;Claudia;Egresado;
75917;CC;andres;Estudiante;
79561;CC;valeria;Profesor;
77669;CC;Claudia;Estudiante;
80219;CC;Catherine;Estudiante;
76311;CC;mariana;Estudiante;
75381;CC;santiago;Estudiante;
80811;CC;Julian;Estudiante;
77422;CC;jorge;Estudiante;
81619;CC;andres;Egresado;
78873;CC;vittorio;Estudiante;
79745;CC;Maria;Estudiante;
78669;CC;andrea ;Estudiante;
73978;CC;violeta;Estudiante;
75260;CC;mathias;PersonaEvento;
79458;CC;mathias;Egresado;
74012;TI;jaime;Estudiante;
74675;CC;Catherine;Egresado;
76650;CC;jose;Estudiante;
81775;CC;Julian;Profesor;
77944;CC;Valentina;Estudiante;
